day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
1,6,212,29,57,18,,65.7,3.4,7.6,1.3,3.4,0.5,not fire   ,0
2,6,212,29,61,13,1.3,64.4,4.1,7.6,1,3.9,0.4,not fire   ,0
3,6,212,26,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,not fire   ,0
4,6,212,25,89,13,2.5,28.6,1.3,6.9,,1.7,0,not fire   ,0
5,6,212,27,77,16,,64.8,3,14.2,1.2,3.9,0.5,not fire   ,0
6,6,212,31,67,14,,82.6,5.8,22.2,3.1,7,2.5,fire   ,0
7,6,212,33,54,13,,88.2,9.9,3.5,6.4,1.9,7.2,fire   ,0
8,6,212,3,73,15,,86.6,12.1,38.3,5.6,13.5,7.1,fire   ,0
9,6,212,25,88,13,0.2,52.9,7.9,38.8,0.4,1.5,0.3,not fire   ,0
10,6,212,28,79,12,,73.2,9.5,46.3,1.3,12.6,0.9,not fire   ,0
11,6,212,31,65,14,,84.5,12.5,54.3,4,15.8,5.6,fire   ,0
12,6,212,26,81,19,,84,13.8,61.4,4.8,17.7,7.1,fire   ,0
13,6,212,27,84,21,1.2,5,6.7,17,0.5,6.7,0.2,not fire   ,0
14,6,212,3,78,2,0.5,59,4.6,7.8,1,4.4,0.4,not fire   ,0
15,6,212,28,8,17,3.1,49.4,3,7.4,0.4,3,0.1,not fire   ,0
16,6,212,29,89,13,0.7,36.1,1.7,7.6,,2.2,0,not fire   ,0
17,6,212,3,89,16,0.6,37.3,1.1,7.8,,1.6,0,not fire   ,0
18,6,212,31,78,14,0.3,56.9,1.9,8,0.7,2.4,0.2,not fire   ,0
19,6,212,31,55,16,0.1,79.9,4.5,16,2.5,5.3,1.4,not fire   ,0
20,6,212,3,8,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,not fire   ,0
21,6,212,3,78,14,,81,6.3,31.6,2.6,8.4,2.2,fire   ,0
22,6,212,31,67,17,0.1,79.1,7,39.5,2.4,9.7,2.3,not fire   ,0
23,6,212,32,62,18,0.1,81.4,8.2,47.7,3.3,11.5,3.8,fire   ,0
24,6,212,32,66,17,,85.9,11.2,55.8,5.6,14.9,7.5,fire   ,0
25,6,212,31,64,15,,86.7,14.2,63.8,5.7,18.3,8.4,fire   ,0
26,6,212,31,64,18,,86.8,17.8,71.8,6.7,21.6,1.6,fire   ,0
27,6,212,34,53,18,,89,21.6,8.3,9.2,25.8,15,fire   ,0
28,6,212,32,55,14,,89.1,25.5,88.5,7.6,29.7,13.9,fire   ,0
29,6,212,32,47,13,0.3,79.9,18.4,84.4,2.2,23.8,3.9,not fire   ,0
30,6,212,33,5,14,,88.7,22.9,92.8,7.2,28.3,12.9,fire   ,0
1,7,212,29,68,19,1,59.9,2.5,8.6,1.1,2.9,0.4,not fire   ,0
2,7,212,27,75,19,1.2,55.7,2.4,8.3,0.8,2.8,0.3,not fire   ,0
3,7,212,32,76,2,0.7,63.1,2.6,9.2,1.3,3,0.5,not fire   ,0
4,7,212,33,78,17,,8.1,4.6,18.5,2.7,5.7,1.7,not fire   ,0
5,7,212,33,66,14,,85.9,7.6,27.9,4.8,9.1,4.9,fire   ,0
6,7,212,32,63,14,,87,1.9,37,5.6,12.5,6.8,fire   ,0
7,7,212,35,64,18,0.2,8,9.7,4.4,2.8,12.1,3.2,not fire   ,0
8,7,212,33,68,19,,85.6,12.5,49.8,6,15.4,8,fire   ,0
9,7,212,32,68,14,1.4,66.6,7.7,9.2,1.1,7.4,0.6,not fire   ,0
10,7,212,33,69,13,0.7,66.6,6,9.3,1.1,5.8,0.5,not fire   ,0
11,7,212,33,76,14,,81.1,8.1,18.7,2.6,8.1,2.2,not fire   ,0
12,7,212,31,75,13,0.1,75.1,7.9,27.7,1.5,9.2,0.9,not fire   ,0
13,7,212,34,81,15,,81.8,9.7,37.2,3,11.7,3.4,not fire   ,0
14,7,212,34,61,13,0.6,73.9,7.8,22.9,1.4,8.4,0.8,not fire   ,0
15,7,212,3,8,19,0.4,6.7,5.2,17,1.1,5.9,0.5,not fire   ,0
16,7,212,28,76,21,,72.6,7,25.5,0.7,8.3,0.4,not fire   ,0
