Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,FWI,Classes,Region
36,48,13,,9.3,22.2,18.5,8.7,15.3,1,0
32,51,13,,88.7,16.0,5.2,6.9,9.8,1,1
33,68,19,,85.6,12.5,49.8,6.0,8.0,1,0
29,57,18,,65.7,3.4,7.6,1.3,0.5,0,0
3,88,14,,82.5,6.6,26.1,3.0,2.7,1,1
35,38,15,,92.1,51.3,147.7,12.2,26.9,1,1
34,59,16,,88.1,19.5,47.2,7.4,1.9,1,1
27,58,17,,88.9,21.3,37.8,8.7,12.9,1,1
31,64,18,,86.8,17.8,71.8,6.7,1.6,1,0
34,44,12,,92.5,25.2,63.3,11.2,17.5,1,1
36,56,16,,88.9,23.8,57.1,8.2,13.2,1,1
39,21,17,0.4,93.0,18.4,41.5,15.5,18.8,1,1
34,56,17,0.1,84.7,9.7,27.3,4.7,5.2,1,1
34,81,15,,81.8,9.7,37.2,3.0,3.4,0,0
36,43,15,1.9,82.3,9.4,9.9,3.2,3.1,1,1
32,76,2,0.7,63.1,2.6,9.2,1.3,0.5,0,0
33,66,14,,85.9,7.6,27.9,4.8,4.9,1,0
35,56,14,,89.0,29.4,115.6,7.5,15.2,1,1
29,49,19,,88.6,11.5,33.4,9.1,1.3,1,1
35,59,17,,87.4,14.8,57.0,6.9,9.9,1,0
31,71,17,,87.3,46.6,99.0,6.9,16.3,1,1
31,83,17,,84.5,19.4,33.1,4.7,7.3,1,1
35,68,19,,88.3,25.9,13.6,8.8,16.8,1,0
32,62,18,0.1,81.4,8.2,47.7,3.3,3.8,1,0
36,55,18,,89.1,33.5,151.3,9.9,2.4,1,0
29,7,14,,82.8,9.4,34.1,3.2,3.6,1,0
27,75,19,1.2,55.7,2.4,8.3,0.8,0.3,0,0
31,5,19,0.6,77.8,1.6,41.4,2.4,2.8,0,0
28,8,21,16.8,52.5,8.7,8.7,0.6,0.3,0,0
27,75,19,1.2,55.7,2.4,8.3,0.8,0.3,0,0
